Date,Day,Rounds Played
9/3/22,Saturday,129
9/4/22,Sunday,94
9/5/22,Monday,153
9/6/22,Tuesday,52
9/7/22,Wednesday,62
9/8/22,Thursday,52
9/9/22,Friday,84
9/10/22,Saturday,104
9/11/22,Sunday,110
9/12/22,Monday,59
9/13/22,Tuesday,93
9/14/22,Wednesday,94
9/15/22,Thursday,104
9/16/22,Friday,95
9/17/22,Saturday,171
9/18/22,Sunday,71
9/19/22,Monday,48
9/20/22,Tuesday,116
9/21/22,Wednesday,83
9/22/22,Thursday,78
9/23/22,Friday,157
9/24/22,Saturday,165
9/25/22,Sunday,99
9/26/22,Monday,61
9/27/22,Tuesday,86
9/28/22,Wednesday,89
9/29/22,Thursday,122
9/30/22,Friday,200
10/1/22,Saturday,181
10/2/22,Sunday,126
10/3/22,Monday,51
10/4/22,Tuesday,62
10/5/22,Wednesday,134
10/6/22,Thursday,100
10/7/22,Friday,150
10/8/22,Saturday,148
10/9/22,Sunday,114
10/10/22,Monday,120
10/11/22,Tuesday,78
10/12/22,Wednesday,42
10/13/22,Thursday,70
10/14/22,Friday,140
10/15/22,Saturday,167
10/16/22,Sunday,107
10/17/22,Monday,61
10/18/22,Tuesday,74
10/19/22,Wednesday,85
10/20/22,Thursday,91
10/21/22,Friday,191
10/22/22,Saturday,110
10/23/22,Sunday,157
10/24/22,Monday,82
10/25/22,Tuesday,56
10/26/22,Wednesday,59
10/27/22,Thursday,88
10/28/22,Friday,183
10/29/22,Saturday,32
10/30/22,Sunday,96
10/31/22,Monday,45
11/1/22,Tuesday,62
11/2/22,Wednesday,90
11/3/22,Thursday,114
11/4/22,Friday,192
11/5/22,Saturday,34
11/6/22,Sunday,138
11/7/22,Monday,58
11/8/22,Tuesday,78
11/9/22,Wednesday,46
11/10/22,Thursday,76
11/11/22,Friday,202
11/12/22,Saturday,75
11/13/22,Sunday,127
11/14/22,Monday,31
11/15/22,Tuesday,27
11/16/22,Wednesday,27
11/17/22,Thursday,36
11/18/22,Friday,101
11/19/22,Saturday,13
11/20/22,Sunday,24
11/21/22,Monday,47
11/22/22,Tuesday,72
11/23/22,Wednesday,173
11/24/22,Thursday,18
11/25/22,Friday,55
11/26/22,Saturday,20
11/27/22,Sunday,75
11/28/22,Monday,61
11/29/22,Tuesday,46
11/30/22,Wednesday,40
